,Game Of Thrones S07E01 Dragonstone.srt,Game Of Thrones S07E02 Stormborn.srt,Game Of Thrones S07E03 The Queen's Justice.srt,Game Of Thrones S07E04 The Spoils Of War.srt,Game Of Thrones S07E05 Eastwatch.srt,Game Of Thrones S07E06 Beyond The Wall.srt,Game Of Thrones S07E07 The Dragon And The Wolf.srt
229,and they both lost their heads for it.,the Seven Kingdoms.,Do you know what kept me standing,I hope he comes back soon.,"Sandhu: Eh, the North has dulled many good maesters' wits.",Sometimes fear makes them do unfortunate things.,( grunts )
23,We need good men to help us.,The surest way to a woman's heart is with a gift.,We need allies.,You wouldn't be here if you'd tried.,MAN: Listen.,There's a mountain. Looks like an arrowhead.,We are going to destroy the Night King and his army.
230,And how should I be smarter?,How do you propose to stop them?,through all those years in exile?,I remember how happy he was to see me.,"Hard to say whether it's the cold, the drink,",I'll go with anger.,( screeching )
231,By listening to you?,"We are currently at work on a solution, my lord.",Faith.,"When he sees you, his heart will probably stop.",- or the company. - ( all chuckling ),"You're the one they call ""the Dog.""",We can destroy them by burning them.
232,Would that be so terrible?,( chatter ),"Not in any gods,",( chuckles ),Sandhu: A crippled boy claims to have seen,- Fuck off. - ( chuckles ),( screeching )
233,"A raven from King's Landing, Your Grace.",Lord Tarly.,not in myths and legends.,It doesn't look like him.,"dead men on the march beyond the Wall,",They told me you were mean.,And we can destroy them with dragonglass.
234,"""Cersei of House Lannister, First of Her Name,",Ser Jaime.,In myself.,Should've been carved by someone who knew his face.,thanks to the magical help of a raven with three eyes?,Were you born mean or you just hate wildings?,"If we don't win this fight,"
235,"Queen of the Andals and the First Men,",I believe you know my son.,In Daenerys Targaryen.,Everyone who knew his face is dead.,"Ebrose: Yes, it is a bit much.",I don't give two shits about wildings.,then that is the fate of every person in the world.
236,"Protector of the Seven Kingdoms--""",Ser Jaime.,The world hadn't seen a dragon in centuries,We're not.,"- Still, we ought to write back-- - Sam: Brandon Stark.",It's gingers I hate.,( grunts )
237,What does she want?,"Rickard, isn't it?",until my children were born.,They say you killed Joffrey.,- The crippled boy. - Do you know him?,Gingers are beautiful.,There is only one war that matters--
238,( sighs ) Come to King's Landing.,Dickon.,"The Dothraki hadn't crossed the sea, any sea.",Did you?,I led him through the Wall years ago.,"We are kissed by fire, just like you.",the Great War.
239,Bend the knee or suffer the fate of all traitors.,That's it.,They did for me.,I wish I had.,I saw him go beyond the Wall.,Don't point your fucking finger at me.,And it is here.
24,"You can still help a lot more than you've harmed, Clegane.",I won't return to King's Landing until I have that for you.,You're abandoning your people! You're abandoning your home.,What about Casterly Rock?,(LOW RUMBLING),The dead are marching past. Thousands of 'em.,"Thank you, my queen."
240,"You've been so consumed with the enemy to the north,",Thank you for coming.,"I was born to rule the Seven Kingdoms,","Hmm. Me, too.",And?,Did you trip into the fire when you were a baby?,Daenerys: I didn't believe it until I saw them.
241,you've forgotten about the one to the south.,"The other lords of the Reach look to you for guidance, now more than ever.",and I will.,I was angry when I heard someone else had done it.,"Somehow, a crippled boy","I didn't trip, I was pushed.",I saw them all.
242,I'm consumed with the Night King because I've seen him.,They might not have come if you hadn't.,You'll be ruling over a graveyard,"However long my list got, he was always first.",survived for years beyond the Wall when no one else could.,"And ever since, you've been mean.",How many?
243,"And believe me, you'd think of little else if you had, too.","If my queen summons me, I answer the call.",if we don't defeat the Night King.,Your list?,"Not the Night's Watch, not the wildlings, no one.",Will you fuck off?,"A hundred thousand, at least."
244,We still have a wall between us and the Night King.,And I've heard what she does to those who defy her.,The war against my sister has already begun.,Of people I'm going to kill.,Perhaps we ought to listen to what he has to say.,I don't think you're truly mean.,Can they swim?
245,There's nothing between us and Cersei.,You ride for Horn Hill today?,You can't expect us to halt hostilities,How did you get back to Winterfell?,Perhaps you need more scribing work to discipline your mind.,You have sad eyes.,No.
246,There's a thousand miles between us and Cersei.,I have an army to mobilize.,and join you in fighting,It's a long story.,I sense a more detailed proposal is forthcoming?,"You want to suck my dick, is that it?",Good.
247,Winter is here. The Lannisters are a southern army.,Won't be long before the fighting starts.,whatever you saw beyond the Wall.,"I imagine yours is, too.",( clears throat ),- Dick? - Cock.,I'm taking the Iron Fleet back to the Iron Islands.
248,They've never ranged this far north.,And which side will you be fighting for?,You don't believe him.,Yes.,Everyone in Westeros trusts and respects you.,"Ah, dick.",What are you talking about?
249,"You're the military man, but I know her.",You were the only man to defeat Robert Baratheon in battle.,I understand that. It sounds like nonsense.,Not a very pleasant one.,"If you tell people the threat is real, they'll believe it.",I like it.,I've been around the world.
25,It's not too late for you.,Shall we begin?,"Until I return, the North is yours.",(ROARING),(DRAGON GROWLS),TYRION: Cersei thinks the army of the dead,( theme song playing )
250,"If you're her enemy, she'll never stop until she's destroyed you.",Not even Rhaegar Targaryen could do that.,"But if destiny has brought Daenerys Targaryen back to our shores,",Mine neither.,If you advise all the lords to send their men north,I bet you do.,"I've seen everything, things you couldn't imagine,"
251,"Everyone who's ever crossed her, she's found a way to murder.","It's a long ride back to the Reach, Ser Jaime. How may I serve?",it has also made Jon Snow King in the North.,But our stories aren't over yet.,"to hold the Wall, they'll do it.","Nope, it's pussy for me.",and this...
252,You almost sound as if you admire her.,I want you to be my ranking general in the wars to come.,You were the first to bring Dothraki to Westeros?,"No, they're not.",And if you tell every maester in the Citadel,I have a beauty waiting for me back at Winterfell.,this is the only thing I've ever seen that terrifies me.
253,I learned a great deal from her.,I want you to swear allegiance to Cersei,He is the first to make allies of wildlings and Northmen.,Arya...,to search every word of every faded scroll,If I ever get back there.,I'm going back to my island.
254,What is this?,and I want you to help me destroy her enemies.,He was named Lord Commander of the Night's Watch.,"Bran's home, too.","about the Long Night,","Yellow hair, blue eyes,",You should go back to yours.
255,It's what we've been waiting for our whole lives.,All her enemies.,He was named King in the North.,( crows cawing ),they may find something that lets us defeat,the tallest woman you've ever seen.,"When winter's over,"
256,"It's what Father trained us for, whether he knew it or not.",Including Olenna Tyrell.,Not because of his birthright.,You came home.,the Army of the Dead for good.,Almost as tall as you.,we'll be the only ones left alive.
257,He knew it.,I'm a Tarly.,He has no birthright. He's a damn bastard.,I saw you at the crossroads.,It could be done.,- Brienne of Tarth. - You know her?,Cersei: He's right to be afraid.
258,"Made me memorize every damn city, town,",That name means something.,All those hard sons of bitches chose him as their leader,You saw me?,And this news could be authentic.,You're with Brienne of fucking Tarth?,And a coward to run.
259,"lake, forest, and mountain.",We're not oathbreakers. We're not schemers.,because they believe in him.,I see quite a lot now.,It's possible.,"Well, not with her yet.","If those things come for us,"
26,SAMWELL TARLY: Send me to Oldtown.,( theme music playing ),( theme music playing ),(GRUNTING),( theme music playing ),is nothing but a story.,( chatter )
260,It's ours now. We just have to take it.,We don't stab our rivals in the back,"All those things you don't believe in,",Bran has... visions.,It's also possible that this message,- But I see the way she looks at me. - How does she look at you?,there will be no kingdoms to rule.
261,You've been quiet since you came home.,or cut their throats at weddings.,he faced those things.,I thought you might go to King's Landing.,is part of a ploy by the Dragon Queen,Like she wants to carve you up and eat your liver?,Everything we suffered will have been for nothing.
